school_id,nces_unitid,school_name,school_website,cycling_website,research_status,evidence_url,evidence_date,evidence_snippet,discipline_evidence_text,road,mtb,mtb_xc,mtb_st,mtb_enduro,mtb_downhill,mtb_slalom,cyclocross,track,cycling_program_status,head_coach,contact_email,researcher,notes
264,115755,California Polytechnic- Humboldt,www.humboldt.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,bike@humboldt.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
265,110422,California Polytechnic- San luis Obispo,calpoly.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,cpcycling.president@gmail.com,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
280,441937,California State University-Channel Islands,www.csuci.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,ingrid.corleto101@csuci.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
266,110538,California State University-Chico,www.csuchico.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,chicostatecycling@gmail.com,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
281,110556,California State University-Fresno,www.fresnostate.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,eddominguez@mail.fresnostate.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
282,110565,California State University-Fullerton,www.fullerton.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,cestrella-ramirez@fullerton.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
283,110583,California State University-Long Beach,www.csulb.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,clubsports@csulb.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
267,110617,California State University-Sacramento,https://www.csus.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,keelanalton@csus.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
284,,Claremont University Consortium,,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,dominiqic.williams@pomona.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
285,117946,Loyola Marymount University,https://www.lmu.edu/,,needs-review,https://www.westerncollegiatecyclingconference.com/resources/categories-upgrades,2026-02-28,"WCCC resources list ROAD, TRACK, MOUNTAIN BIKE, and CYCLOCROSS categories, and conference About page states collegiate athletes participate in Mountain, Road, Track, and Cyclocross events.",Conference-level evidence for road/mtb/cyclocross/track disciplines.,true,true,,,,,,true,true,active,,lmuclubsports@lmu.edu,chatgpt-seed,Provisional conference-level seeding. Validate team-level disciplines per school. Secondary source: https://www.westerncollegiatecyclingconference.com/resources/about-us
